Blog	four	looking	second	here	k	music	until	example	want	wrong	series	re	wasn	service	needed	project	came	net	best	country	asked	much	life	things	big	had	easy	possible	right	old	people	support	happy	back	time	team	along	love	working	such	years	course	didn	internet	million	open	future	note	take	ways	going	artist	where	many	photos	technology	being	around	world	favorite	other	image	her	am	having	original	number	tv	th	large	small	past	hours	pick	via	company	information	its	always	found	really	major	self	also	play	sometimes	set	see	available	last	whole	rules	recent	using	couple	d	continue	anything	into	link	line	posted	us	ago	results	try	video	let	great	makes	tools	next	process	high	books	could	david	system	lot	face	fact	should	move	means	stuff	edition	email	ve	off	less	web	five	become	does	doing	told	word	work	interview	order	office	then	them	they	network	another	john	do	away	com	hand	photo	thanks	night	security	comments	marketing	post	months	way	update	together	change	live	social	write	product	remember	still	non	now	january	year	space	shows	care	than	online	only	between	article	comes	actually	these	media	real	read	early	business	aren	start	trying	since	month	very	learned	family	put	site	history	help	soon	event	miss	latest	pretty	during	x	close	won	probably	both	else	look	used	game	run	within	doesn	youtube	go	facebook	click	started	control	links	software	him	times	data	man	need	based	she	state	problem	keep	well	page	twitter	home	north	he	piece	friends	amp	companies	likely	even	while	ever	never	give	amazing	before	personal	better	weeks	went	content	isn	user	seen	don	m	points	stop	bad	said	against	three	website	say	make	left	just	human	yes	yet	popular	down	digital	finally	did	making	sunday	may	maybe	talk	nbsp	group	interesting	rock	morning	after	thing	think	first	little	anyone	were	show	enough	get	nearly	behind	reading	across	according	those	different	pay	same	running	money	either	users	videos	film	again	important	u	public	search	two	share	needs	coming	through	good	everyone	house	hard	idea	done	least	believe	build	most	services	find	please	point	simple	understand	itself	yesterday	bit	google	often	decision	single	others	later	ll	day	including	almost	thought	add	works	buy	minutes	special	under	every	would	phone	me	end	over	writing	each	got	free	days	already	top	too	took	talking	though	watch	amazon	report	full	however	news	quickly	several	everything	christmas	why	check	no	posts	today	huge	name	turn	place	given	white	any	sure	written	review	outside	come	case	myself	events	week	without	when	seems	blog	there	program	far	sony	list	design	version	short	might	friday	feel	says	story	kind	nothing	part	his	wrote	art	use	recently	question	long	called	once	issues	app	few	something	united	six	instead	our	out	york	their	which	who	view	stories	gets	know	because	getting	own	apps	made	whether	book
PaulStamatiou.com - Technology, Design and Photography	2	21	13	64	9	15	36	46	111	5	6	113	17	22	18	5	13	6	42	2	12	131	21	58	27	90	33	11	70	27	69	20	11	69	141	14	15	28	52	33	25	34	37	6	3	31	17	18	60	11	52	0	79	57	110	4	50	61	15	6	90	104	3	23	47	7	11	12	1	30	36	16	23	5	21	21	8	31	33	29	44	2	4	90	19	4	67	85	10	49	5	7	13	75	0	75	4	26	119	19	23	3	27	16	16	19	72	40	43	27	17	47	43	28	6	56	13	22	32	4	5	57	8	20	21	10	82	68	29	25	44	2	12	31	27	4	7	64	2	2	20	110	123	171	12	45	1	161	33	52	4	124	12	5	2	9	28	149	19	60	23	13	28	18	9	23	34	11	46	9	148	2	31	10	5	8	79	7	163	30	22	22	40	69	94	19	86	13	5	5	34	25	49	28	38	10	16	24	101	9	29	12	8	5	7	25	20	99	16	22	24	32	8	47	53	5	37	8	34	5	58	15	24	38	38	12	18	3	27	51	2	93	26	0	12	9	37	50	71	66	37	0	15	8	25	51	4	17	72	73	22	26	13	7	51	8	76	8	10	79	8	110	8	113	118	2	10	6	17	2	12	35	20	58	23	192	1	14	28	16	48	8	7	31	12	2	43	10	14	0	11	20	4	4	79	51	47	133	25	6	32	26	25	149	4	8	21	9	0	53	39	8	51	31	8	17	66	9	2	25	17	1	7	62	38	27	13	15	48	55	17	1	33	23	40	13	11	26	71	12	47	11	37	22	4	14	2	55	73	26	4	12	14	33	103	36	22	12	21	32	23	12	18	2	8	42	102	25	186	56	48	17	48	32	11	16	21	35	66	16	21	36	11	45	3	19	28	18	22	27	47	0	49	10	98	38	11	10	28	18	18	11	4	92	36	2	13	8	34	23	21	12	39	31	187	18	91	169	4	16	4	22	116	44	5	25	0	12	5	11	21	8	53	13	7	5	185	17	3	25	28	15	18	90	105	56	2	2	40	81	126	4	108	66	17	15	1	13	48	26	40	57	34	35	7	8
ba07f6e8ecf95f6e4e24be3ae0c63478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Publishing 2.0	0	1	2	7	0	0	0	2	1	1	0	8	0	1	0	2	0	0	3	0	1	3	0	1	4	5	1	0	6	1	5	1	0	2	2	1	1	0	0	0	2	1	0	4	1	2	21	0	1	0	3	0	4	6	0	4	2	4	2	0	7	0	0	6	0	2	2	2	0	0	0	0	0	0	0	3	3	4	0	1	0	2	0	1	1	1	2	2	0	5	0	1	3	2	0	1	2	0	1	14	0	2	6	1	1	0	0	1	5	0	1	2	0	2	0	5	0	0	3	0	1	4	0	0	1	2	0	6	1	1	22	1	3	0	2	0	0	1	0	0	0	2	1	12	2	0	0	2	5	10	0	1	0	0	0	0	0	9	1	4	1	1	2	0	1	0	1	0	1	0	7	0	1	2	1	2	3	9	1	0	5	2	1	5	14	0	1	0	7	0	2	2	2	0	2	0	0	3	11	1	2	0	0	0	0	0	0	0	0	2	0	2	1	0	2	2	0	0	2	3	1	4	0	2	2	9	0	0	4	1	0	2	1	0	2	1	2	2	13	7	0	0	8	0	0	0	8	0	0	2	0	0	0	0	0	0	0	1	0	15	2	2	0	6	5	1	1	0	1	0	3	0	1	4	2	4	2	0	1	0	2	2	1	0	3	1	3	0	1	0	0	2	0	0	0	1	2	9	0	3	0	1	3	6	0	1	8	1	1	2	0	1	0	0	3	0	1	0	0	0	7	1	0	1	4	1	3	0	5	1	1	1	1	1	0	1	1	0	13	1	1	0	0	2	1	0	1	1	9	2	0	0	1	0	2	0	0	1	0	0	1	0	0	0	0	2	2	0	1	2	4	1	1	3	2	3	1	1	2	0	0	1	0	0	3	5	0	57	0	1	2	0	9	0	5	0	5	0	1	0	0	0	0	3	1	0	0	1	2	2	0	0	5	1	3	1	6	11	2	0	0	0	0	0	0	1	0	0	0	4	5	1	0	4	1	0	2	1	4	1	4	0	0	0	4	0	0	0	1	7	8	5	6	12	2	0	10	2	2	5	0	2	0	0	1	2
Eschaton	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	1	0	4	1	2	0	1	0	0	0	1	5	0	3	1	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	6	0	0	1	0	0	0	1	0	2	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	3	0	0	2	2	1	0	1	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	3	0	2	0	0	0	1	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	2	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	1	1	0	0	0	0	5	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	3	3	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	1	1	0	2	2	1	0	0	2	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	0	0	3	0	0	0	1	0	1	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	1	2	0	0	0	0	0	0	0	0	1	1	0	2	0	0	1	1	0	2	1	0	1	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	0	3	0	3	0	0	0	0	1	0	0	0	0	0	0
1d33b558acf31b04f61ecb0cd6990e3a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
we make money not art	0	2	0	0	1	2	0	1	0	0	2	0	0	0	0	2	1	0	1	0	0	1	2	0	0	1	0	1	1	1	3	0	0	0	4	0	0	0	0	2	0	0	0	1	0	1	1	0	1	1	0	4	2	1	0	3	0	0	4	0	2	3	0	0	0	0	0	0	1	1	1	0	1	0	0	0	1	7	0	2	1	0	0	1	0	0	0	2	1	2	0	1	0	1	0	1	16	0	3	0	1	0	7	1	0	0	1	0	1	0	1	1	1	1	2	2	0	0	0	1	0	1	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	2	1	0	0	1	1	1	2	0	0	1	1	1	0	0	0	0	0	1	0	0	0	1	1	3	0	0	2	0	0	0	1	1	1	0	3	2	0	0	0	0	1	0	0	0	0	0	6	1	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	2	0	0	1	0	0	2	0	2	0	0	0	0	0	7	0	0	0	2	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	2	1	1	1	0	1	8	0	1	0	1	8	1	0	0	0	2	0	1	0	2	1	0	0	0	0	0	1	2	1	4	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	2	0	0	0	0	1	0	1	0	3	0	0	3	0	0	0	0	1	1	2	0	0	0	0	0	0	1	1	0	2	0	0	1	1	0	0	4	0	0	0	0	0	0	0	0	1	0	1	0	2	1	4	0	1	0	0	2	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	0	1	0	1	1	1	0	1	0	0	2	0	1	0	0	0	1	1	2	0	3	0	0	0	0	0	3	0	0	1	0	0	0	1	1	0	2	1	0	14	2	0	0	1	1	1	0	0	3	0	1	1	0	4	1	0	5	4	6	0	0	0	0	1	0	0	0	3	0	1
Joho the Blog	0	0	0	1	2	0	0	0	1	0	0	0	0	1	0	0	1	6	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	6	0	0	0	0	0	2	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	2	0	0	4	0	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	2	0	1	0	1	0	1	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	1	2	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	3	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	3	0	0	1	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	1	1	0	2	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	1	1	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	1	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	3	1	0	0	1	2	0	0	0	1	0	3
Neil Gaiman's Journal	0	9	3	56	1	9	10	0	19	3	4	9	8	3	3	11	13	0	13	0	15	22	13	43	9	41	2	2	11	14	63	6	11	18	42	0	6	21	4	6	19	2	11	1	5	4	2	5	9	1	29	8	33	14	4	0	19	12	24	0	16	0	33	25	5	1	1	2	42	0	15	0	4	2	4	1	4	18	5	8	30	1	1	35	2	5	4	39	5	20	8	9	1	0	7	22	0	5	23	17	6	28	35	11	0	2	8	9	5	2	0	10	4	2	32	15	2	2	8	4	0	16	3	6	8	4	2	31	11	0	3	5	7	8	16	10	1	12	14	11	0	31	45	72	0	6	3	40	4	35	10	9	0	22	0	1	0	5	5	10	3	6	1	4	3	9	4	7	17	0	35	5	40	3	5	0	10	1	28	9	6	5	4	10	4	6	43	2	4	2	6	9	9	2	28	3	11	20	2	3	7	3	9	3	1	7	3	5	2	8	9	6	7	8	1	2	3	2	5	1	29	7	4	6	0	4	0	14	3	0	5	11	0	48	3	3	4	8	4	15	1	1	36	2	5	6	0	1	11	16	15	12	5	11	20	2	3	12	19	0	5	0	8	19	51	1	4	4	13	1	9	9	8	31	4	37	4	6	3	2	4	0	7	17	11	5	16	0	16	256	1	3	3	6	14	13	18	29	10	7	29	11	7	26	3	4	14	4	1	8	5	2	9	1	1	2	0	2	13	11	5	0	7	2	32	3	4	7	9	15	5	18	4	5	14	2	3	1	17	0	10	7	7	1	2	3	5	9	5	2	0	0	2	6	33	17	4	5	9	0	2	8	7	7	4	6	36	4	104	15	22	20	10	17	5	12	11	3	13	9	6	1	4	13	3	5	0	4	0	1	10	1	8	1	16	2	12	7	8	4	12	5	5	8	8	7	5	1	20	4	10	6	13	5	49	4	19	61	1	5	0	2	2	5	8	8	4	6	3	29	18	5	13	16	19	33	4	0	4	7	9	5	1	0	13	21	2	3	4	10	87	25	37	42	54	2	9	0	26	29	8	7	3	14	2	63
Signal vs. Noise	2	3	2	2	1	0	0	3	4	0	0	6	3	1	4	3	1	0	3	0	2	3	3	10	6	21	3	0	4	1	8	1	1	4	9	8	2	2	4	1	8	1	7	2	0	2	2	0	4	0	9	0	5	8	0	1	5	8	2	1	12	0	19	1	7	0	0	0	0	1	5	1	1	0	1	8	0	6	2	5	4	3	0	9	1	3	3	10	1	1	1	0	1	1	1	9	0	5	6	0	0	0	5	2	0	3	1	2	4	6	1	8	4	0	0	9	0	1	5	0	1	3	1	2	1	0	2	14	5	2	5	1	2	2	1	3	2	8	0	4	5	6	10	22	0	8	0	5	3	0	0	3	1	0	0	1	2	3	3	7	1	1	0	0	1	3	10	0	6	2	10	0	8	1	0	2	6	4	10	1	1	3	1	4	1	2	3	2	7	3	2	2	2	4	3	4	3	2	1	1	0	2	0	2	3	0	4	1	1	1	1	4	3	4	4	0	0	0	2	2	3	0	0	9	1	1	6	0	0	5	0	1	1	22	1	3	4	0	1	1	1	0	6	2	10	1	3	0	8	2	1	6	5	2	3	0	6	1	4	3	4	1	4	8	12	3	1	1	4	2	3	3	5	13	0	18	1	0	6	3	10	0	0	9	5	0	2	2	3	0	0	2	0	1	11	2	3	11	2	1	11	0	6	5	0	1	1	1	0	3	2	0	4	2	3	2	2	0	0	4	1	1	2	0	12	4	0	0	1	4	3	1	2	3	1	4	2	2	4	0	1	1	1	3	0	1	0	2	0	1	2	0	1	1	4	10	1	5	3	0	0	3	4	1	0	5	14	0	18	3	6	10	4	4	0	5	3	0	7	3	2	0	1	0	0	1	0	1	0	2	3	5	5	0	5	2	0	1	1	2	2	1	0	7	1	1	0	0	2	2	5	0	1	3	19	2	5	11	0	5	0	1	1	6	1	3	0	4	0	5	5	2	0	5	5	0	1	0	2	4	1	3	2	18	9	15	0	2	5	31	13	0	9	6	10	0	1	0	8	5	5	4	4	7	3	0
Online Marketing Report	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	1	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	1	1	0	0	5	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	2	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	1	2	0	3	0	0	0	0	0	0	0	1	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	2	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	23	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0
